stud_name,course_name,teacher,gender,ects,classroom,grade,img_url
Jessica Doe,History,Jack,female,50,C-162,4,picture0.jpg
Jessica Doe,PE,Jack,female,10,C-105,10,picture0.jpg
Jessica Doe,Programming,George,female,30,C-102,4,picture0.jpg
Jessica Doe,Math,Anne,female,50,C-102,2,picture0.jpg
Billy Smith,Programming,Susan,male,10,C-102,10,picture1.jpg
Billy Smith,Security,Anne,male,40,C-105,2,picture1.jpg
Billy Smith,PE,Jack,male,20,C-102,-3,picture1.jpg
Billy Smith,History,John,male,10,C-265,4,picture1.jpg
Anne Doe,Security,Rex,other,20,C-105,12,picture2.jpg
Anne Doe,History,Jane,other,20,C-162,12,picture2.jpg
Jessica Smith,English,Susan,female,40,C-162,10,picture3.jpg
Billy Black,PE,Billy,other,30,C-102,7,picture4.jpg
Billy Black,History,Susan,other,40,C-162,2,picture4.jpg
Billy Black,English,Susan,other,10,C-162,4,picture4.jpg
Billy Black,Math,Susan,other,10,C-162,4,picture4.jpg
Susan Smith,PE,John,female,40,C-162,-3,picture5.jpg
Susan Smith,History,Josephine,female,20,C-265,-3,picture5.jpg
Susan Smith,Programming,George,female,50,C-265,10,picture5.jpg
Billy Jensen,Math,Josephine,male,10,C-105,4,picture6.jpg
Billy Jensen,PE,Jessica,male,30,C-265,2,picture6.jpg
John Doe,Security,Josephine,female,20,C-265,10,picture7.jpg
John Doe,English,Jack,female,20,C-265,-3,picture7.jpg
John Doe,Math,Anne,female,10,C-105,2,picture7.jpg
Josephine Doe,Programming,Billy,female,40,C-105,7,picture8.jpg
Josephine Doe,Math,Billy,female,50,C-162,7,picture8.jpg
Josephine Smith,History,Susan,male,20,C-265,-3,picture9.jpg
Josephine Smith,PE,Bob,male,20,C-105,4,picture9.jpg
Josephine Smith,English,Rex,male,50,C-265,-3,picture9.jpg
